18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,14,15,15,15,16
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,0,15,15,15,15,15
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,14,15,15,15,15,15
18,18,18,0,1,2,18,18,18,18,18,18,18,18,18,18,18,18,18,28,15,15,15,29,29
18,18,18,14,15,16,18,18,18,18,18,18,18,18,18,18,18,18,18,18,28,29,30,18,18
18,18,0,15,15,15,2,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
18,18,14,15,15,15,16,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
18,0,15,15,15,15,15,2,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
18,14,15,15,15,15,15,16,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
18,28,15,15,15,29,29,30,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
18,18,28,29,30,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
18,18,18,18,18,18,18,18,18,18,18,18,0,1,1,1,2,18,18,18,18,18,18,18,18
18,18,18,18,18,18,18,18,18,18,18,18,14,15,15,15,15,2,18,18,18,18,18,18,18
18,18,18,18,18,18,18,18,18,18,18,0,15,15,15,15,15,16,18,18,18,18,18,18,18
18,18,18,18,18,18,18,18,18,18,18,14,15,15,15,15,15,30,18,18,18,18,18,18,18
18,18,18,18,18,18,18,18,18,18,18,14,15,15,15,15,16,18,18,18,18,18,18,18,18
18,18,18,18,18,18,18,18,18,18,18,14,15,15,15,15,16,18,18,18,18,18,18,18,18
